name,flash_id
St. Poelten,poertschach
San Francisco,san-jose
Charlotte,houston
Tampa,pinehurst
Genova,poertschach
Sun City,johannesburg
Hilversum,amersfoort
New Delhi,chennai
Rosmalen,hertogenbosch
Marbella,mallorca
Coral Springs,delray-beach
Bournemouth,brighton
Mexico City,acapulco
Masters Cup,finals-london
Beijing Olympics,olympic-games
London Olympics,olympic-games
Rio Olympics,olympic-games
ATP Next Gen Finals,next-gen-finals-milan
Roland Garros,french-open
s Hertogenbosch,hertogenbosch
Tour Finals,finals-london
Cologne 1,cologne
