name,id,formatted_name
Genova,479,genova
Kuala Lumpur-2,742,kuala-lumpur
Sydney Indoor,427,sydney
Sydney Outdoor,338,sydney
Stuttgart Indoor,357,stuttgart
Tokyo Indoor,329,tokyo
Tokyo Outdoor,329,tokyo
Essen Masters,2054,essen
Oporto,386,porto
Split,7301,split
Merano,789,merano
St. Poelten,306,st-polten
Poertschach,65,portschach
Masters Cup,605,nitto-atp-finals
Costa Do Sauipe,533,sao-paulo
ATP Next Gen Finals,7696,next-gen-atp-finals
Indian Wells Masters,404,indian-wells
Miami Masters,403,miami
Monte Carlo Masters,410,monte-carlo
Madrid Masters,1536,madrid
s Hertogenbosch,440,s-hertogenbosch
Queen's Club,311,london
Canada Masters,421,toronto
Shanghai Masters,5014,shanghai
Atp Cup,8888,atp-cup
Cincinnati Masters,422,new-york
Rome Masters,416,rome
Cologne 1,9404,cologne
Paris Masters,352,paris
Tour Finals,605,nitto-atp-finals
London,408,london
